nama_tempat,alamat,tahun,latitude,longitude,kelurahan,kecamatan,type
CIWALK,JL. CIHAMPELAS NO. 160,2021,-6.892040010593098,107.60505450446244,Cipaganti,Coblong,tourism_shopping_place
PARIS VAN JAVA RESORT LIFESTYLE PLACE,JL. SUKAJADI NO. 131-139,2021,-6.887284479328349,107.59614923028673,Cipedes,Sukasari,tourism_shopping_place
BTC FASHION MALL,JL. DR. DJUNJUNAN NO. 143-149,2021,-6.891267778753975,107.58534565200128,Sukagalih,Sukasari,tourism_shopping_place
ISTANA PLAZA,JL. PASIR KALIKI NO. 121-123,2021,-6.903687066118921,107.59703469863425,Pamoyanan,Cicendo,tourism_shopping_place
ISTANA BEC,JL. PURNAWARMAN NO. 13-15,2021,-6.9064136285250814,107.60853574494158,Tamansari,Bandung Wetan,tourism_shopping_place
MALL PASKAL 23 HYPERSQUARE BANDUNG,KEBON JERUK ANDIR,2021,-6.913288882344184,107.59438468720332,Arjuna,Cicendo,tourism_shopping_place
GRAND YOGYA KEPATIHAN,JL. KEPATIHAN NO. 18,2021,-6.92199155090802,107.60593431871882,Balonggede,Regol,tourism_shopping_place
BRAGA CITY WALK,JL. BRAGA NO. 99-101,2021,-6.9152060212036295,107.60935141882892,Babakan Ciamis,Sumur Bandung,tourism_shopping_place
BANDUNG INDAH PLAZA,JL. MERDEKA NO. 56,2021,-6.906461662542402,107.6106710441752,Citarum,Bandung Wetan,tourism_shopping_place
TRANS STUDIO MALL,JL. GATOT SUBROTO NO. 289,2021,-6.923332484599419,107.6365056658089,Cibangkong,Batununggal,tourism_shopping_place
FESTIVAL CITYLINK,JL. PETA NO. 241,2021,-6.927961605244426,107.5861900915108,Sukaasih,Bojongloa Kaler,tourism_shopping_place
TERAS CIHAMPELAS BANDUNG,JL. CIHAMPELAS NO. 162,2021,-6.893683587976739,107.60420310492128,Cipaganti,Coblong,tourism_shopping_place
LIVING PLAZA DAGO,JL. IR. H. JUANDA TAMANSARI,2021,-6.899783700383481,107.6115831402815,Tamansari,Bandung Wetan,tourism_shopping_place
CLICK SQUARE,JL. NARIPAN NO. 89,2021,-6.919687260878797,107.61601294382884,Kebon Pisang,Sumur Bandung,tourism_shopping_place
PLAZA SETRASARI,JL. SURYA SUMANTRI NO. 444,2021,-6.880458460110545,107.58230127299392,Sukagalih,Sukasari,tourism_shopping_place
BALUBUR TOWN SQUARE,JL. TAMANSARI NO. P-2,2021,-6.897856405196513,107.6093136384184,Tamansari,Bandung Wetan,tourism_shopping_place
MIKO MALL KOPO,JL. RAYA KOPO NO. 599,2021,-6.959857000032356,107.5808088664058,Margasuka,Babakan Ciparay,tourism_shopping_place
RIAU JUNCTION,JL. L. L. R. E. MARTADINATA,2021,-6.906275618025114,107.6122259662744,Merdeka,Sumur Bandung,tourism_shopping_place
PASAR BARU TRADE CENTER,JL. OTTO ISKANDAR DINATA NO. 70,2021,-6.917337776713038,107.60429321080534,Braga,Sumur Bandung,tourism_shopping_place
BTM BANDUNG TRADE MALL,JL IBRAHIM ADJIE NO. 47,2021,-6.911264675617622,107.64430607988103,Kebonwaru,Batununggal,tourism_shopping_place
PARAHYANGAN PLAZA,JL. DALEM KAUM NO. 54,2021,-6.9214530590347865,107.60623949107055,Balonggede,Regol,tourism_shopping_place
THE KINGS SHOPPING CENTRE,JL. KEPATIHAN NO. 11-17,2021,-6.922012047145163,107.60515513613716,Balonggede,Regol,tourism_shopping_place
LUCKY SQUARE MALL,JL. TERUSAN JAKARTA NO. 2,2021,-6.912789341821708,107.64485622644148,Babakan Surabaya,Kiaracondong,tourism_shopping_place
PISET SQUARE,JL. PELAJAR PEJUANG 45 NO. 119,2021,-6.933279379222399,107.6258017895552,Turangga,Lengkong,tourism_shopping_place
MD PLAZA,JL. OTTO ISKANDAR DINATA,2021,-6.916555956458383,107.60401937657836,Braga,Sumur Bandung,tourism_shopping_place
YOGYA JUNCTION,JL. SUMATERA,2021,-6.906621122123139,107.6120481953328,Merdeka,Sumur Bandung,tourism_shopping_place
UJUNG BERUNG TOWN SQUARE,JL. A. H. NASUTION NO. 46A,2021,-6.914178822557875,107.69661601066169,Pakemitan,Cinambo,tourism_shopping_place
METRO TRADE CENTER,SEKEJATI BUAH BATU,2021,-6.9430663913270205,107.65887223541534,Sekejati,Buahbatu,tourism_shopping_place
METRO INDAH MALL,JL. SOEKARNO HATTA JL. MTC BARAT NO. 590,2021,-6.9430663913270205,107.65887223541534,Sekejati,Buahbatu,tourism_shopping_place
JAYA PLAZA,JL. JEND. AHMAD YANI NO. 238,2021,-6.917657329259269,107.62659842430485,Kacapiring,Batununggal,tourism_shopping_place
THE PLAZA IBCC,JL. JEND AHMAD YANI NO. 296,2021,-6.915313975997785,107.63342472235416,Kacapiring,Batununggal,tourism_shopping_place
ITC KEBON KELAPA,JL. MOH. TOHA JL. PUNGKUR,2021,-6.915313975997785,107.63342472235416,Kacapiring,Batununggal,tourism_shopping_place
RAJAWALI PLAZA,JL. RAJAWALI TIMUR NO. 27,2021,-6.915876683103376,107.58891379324648,Ciroyom,Andir,tourism_shopping_place
BUAH BATU SQUARE,JL. RAYA BOJONGSOANG NO. 321,2021,-6.966452513855623,107.63804152790944,Cipagalo,Bandung Wetan,tourism_shopping_place
RAMAYANA,JL. ASTANA ANYAR NO. 186,2021,-6.92688126311042,107.5998676354403,Karanganyar,Astanaanyar,tourism_shopping_place
YOGYA SUNDA,JL. SUNDA NO. 60,2021,-6.9178196094115565,107.61826415056704,Kebon Pisang,Sumur Bandung,tourism_shopping_place
RUMAH MODE FACTORY OUTLET,JL. DR. SETIABUDI NO. 41,2021,-6.876233328556991,107.6010442257491,Hegarmanah,Cidadap,tourism_shopping_place
BLOSSOM,JL. IR. H. JUANDA NO. 112,2021,-6.889413936012234,107.61358346500812,Lebak Gede,Coblong,tourism_shopping_place
MERDEKA ARCADE FACTORY OUTLET,JL. MERDEKA NO. 35,2021,-6.90627142405612,107.61051262087368,Tamansari,Bandung Wetan,tourism_shopping_place
MORNING DEW FACTORY OUTLET,JL. IR. H. JUANDA NO. 81,2021,-6.893907569742586,107.611940791486,Lebak Siliwangi,Coblong,tourism_shopping_place
PABERIK BADJOE FACTORY OUTLET,JL. SOEKARNO HATTA NO. 573,2021,-6.941533483597855,107.63848041889923,Gumuruh,Batununggal,tourism_shopping_place
BANDARBAJU.COM PUSAT BISNIS BAJU MURAH BANDUNG,JL. ANGKASA MEKAR NO. 88,2021,-6.957374186500854,107.59012380428751,Cirangrang,Babakan Ciparay,tourism_shopping_place
FACTORY OUTLET STORE,JL. DR. SETIABUDI 73,2021,-6.87053744092307,107.5940868594795,Hegarmanah,Cidadap,tourism_shopping_place
THE SECRET FACTORY OUTLET,JL. L. L. R. E. MARTADINATAÂ  NO. 47,2021,-6.904341501026932,107.61460880065005,Citarum,Bandung Wetan,tourism_shopping_place
CARGO FACTORY OUTLET,JL. DIPONEGORO NO. 30,2021,-6.899910912083527,107.6220760149725,Cihaurgeulis,Cibeunying Kaler,tourism_shopping_place
ANAKECIL FACTORY OUTLET,JL. HAYAM WURUK NO. 32,2021,-6.902041250680221,107.62035941582116,Citarum,Bandung Wetan,tourism_shopping_place
HERITAGE THE FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 63-65,2021,-6.904086411492033,107.61718370032496,Citarum,Bandung Wetan,tourism_shopping_place
PASSION FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 36,2021,-6.905668433280177,107.61664414888116,Citarum,Bandung Wetan,tourism_shopping_place
EST FACTORY OUTLET,JL. SUMATERA NO. 28-30,2021,-6.916087641641674,107.61391375120031,Kebon Pisang,Sumur Bandung,tourism_shopping_place
DSE FACTORY OUTLET,JL. MERDEKA NO. 35,2021,-6.907861945781902,107.61016158072113,Babakan Ciamis,Sumur Bandung,tourism_shopping_place
ADIDAS OUTLET STORE,JL. SOEKARNO HATTA NO. 57355,2021,-6.945820849775246,107.63874392149508,Gumuruh,Batununggal,tourism_shopping_place
THE CROWN PREMIUM OUTLETS,JL. L. L. R. E. MARTADINATA NO. 51,2021,-6.90639141247417,107.61504971910932,Citarum,Bandung Wetan,tourism_shopping_place
ADIDAS OUTLET DAGO,JL. IR H. JUANDA NO. 123,2021,-6.890279955952941,107.61339052843395,Lebak Gede,Coblong,tourism_shopping_place
EIGER,JL. PELAJAR PEJUANG 45 NO. 112,2021,-6.93251141208714,107.62307514112626,Turangga,Lengkong,tourism_shopping_place
EIGER ADVENTURE CIHAMPELAS,JL. CIHAMPELAS NO. 22,2021,-6.90398199964887,107.60461201101285,Tamansari,Bandung Wetan,tourism_shopping_place
PEGASHOES,JL. KEMBANG SAPATU NO. 3,2021,-6.917630849245296,107.6245878965211,Merdeka,Sumur Bandung,tourism_shopping_place
FO RIAU STOK MALL,JL. L. L. R. E. MARTADINATA NO. 160,2021,-6.912518306702773,107.6291368858317,Cihapit,Bandung Wetan,tourism_shopping_place
EXPORT STATION,JL. SUMATERA NO. 24-30,2021,-6.914566983084818,107.61395944297708,Babakan Ciamis,Sumur Bandung,tourism_shopping_place
FS BODYPACK EIGER STORE DAGO,JL. IR. H. JUANDA NO. 88,2021,-6.89471339141491,107.61327236979164,Lebak Gede,Coblong,tourism_shopping_place
CONSINA STORE BANDUNG,JL. LENGKONG BESAR NO. 79,2021,-6.925321832006346,107.6123781586149,Paledang,Lengkong,tourism_shopping_place
ISTANA SEPATU,JL. DALEM KAUM NO. 25,2021,-6.921761034164259,107.60481619141464,Balonggede,Regol,tourism_shopping_place
ISTANA SEPATU MERDEKA,JL. MERDEKA NO. 23A,2021,-6.909031604124932,107.6104479551268,Babakan Ciamis,Sumur Bandung,tourism_shopping_place
EIGER SUMATERA,JL. SUMATERA NO. 23,2021,-6.915838350397886,107.61338908638176,Braga,Sumur Bandung,tourism_shopping_place
THE SAPARUA,JL. AMBON NO. 15,2021,-6.907073430112584,107.61679002283245,Citarum,Bandung Wetan,tourism_shopping_place
CASCADE FASHION HOUSE AND HOME LIVING,JL. L. L. R. E. MARTADINATA NO. 65,2021,-6.905507734477263,107.61738010469917,Citarum,Bandung Wetan,tourism_shopping_place
UNDER ARMOUR BANDUNG,JL. IR. H. JUANDA NO. 23,2021,-6.904552125190411,107.61046809552263,Citarum,Bandung Wetan,tourism_shopping_place
TERMINAL TAS,JL. L. L. R. E. MARTADINATA NO. 32,2021,-6.905681029509282,107.61631843989504,Citarum,Bandung Wetan,tourism_shopping_place
IBC JEANS & FACTORY OUTLET,JL. CIHAMPELAS NO. 114,2021,-6.897148511325782,107.604214512886,Tamansari,Bandung Wetan,tourism_shopping_place
DEARUMMANIS FACTORY OUTLET,JL. CIHAMPELAS NO. 144,2021,-6.895486917998204,107.60421449881454,Cipaganti,Coblong,tourism_shopping_place
NIKE FACTORY STORE,JL. IR. H. JUANDA NO. 145,2021,-6.888811226155463,107.6128195308568,Lebak Siliwangi,Coblong,tourism_shopping_place
EPISODE,JL. IR. H. JUANDA NO. 125,2021,-6.89142587388843,107.61278572240374,Lebak Siliwangi,Coblong,tourism_shopping_place
MACADAMIA LITTLE GLAMZ,JL. BAHUREKSA NO.12,2021,-6.905373266499163,107.61446943114248,Citarum,Bandung Wetan,tourism_shopping_place
RABBANI KEMKO BUAH BATU,JL. BUAH BATU NO. 150,2021,-6.937375940087906,107.62300645122797,Cijagra,Lengkong,tourism_shopping_place
GANI FACTORY OUTLET,JL. A.H. NASUTION KM 10 NO. 6-8,2021,-6.912032535092137,107.69169095631952,Cigending,Ujungberung,tourism_shopping_place
HOUSE OF DONATELLO,JL. IR. H. JUANDA NO. 104,2021,-6.89234104056075,107.61346546433096,Lebak Gede,Coblong,tourism_shopping_place
FACTORY OUTLET TOMKINS,JL. GEDEBAGE SELATAN NO. 95,2021,-6.946721209427769,107.68908069175131,Cisaranten Kidul,Gedebage,tourism_shopping_place
HYPESTORE,JL. CIHAMPELAS NO. 178,2021,-6.890222261711635,107.60362729289436,Cipaganti,Coblong,tourism_shopping_place
C29 FACTORY OUTLET,JL. CIGONDEWAH KIDUL NO. 29,2021,-6.929223077212588,107.5649511758082,Cijerah,Bandung Kulon,tourism_shopping_place
PUMA OUTLET,JL. IR. H. JUANDA NO. 119,2021,-6.891180218316193,107.61247443290858,Lebak Siliwangi,Coblong,tourism_shopping_place
FACTORY OUTLET JBA,JL. TERUSAN KIPO KM. 13 NO. 367,2021,-7.008748283355581,107.55110083463344,Citarum,Bandung Wetan,tourism_shopping_place
DEMOSS WISATA BERBELANJA BUAH BATU,JL. BUAH BATU NO. 149,2021,-6.9376468884924725,107.6243044953762,Turangga,Lengkong,tourism_shopping_place
PERAHU JEANS FASHION OUTLET,JL. CIHAMPELAS,2021,-6.895485724104602,107.6039751223515,Cipaganti,Coblong,tourism_shopping_place
MINIMAL RUMAH MODE,JL. DR. SETIABUDI NO. 41,2021,-6.882740667366009,107.59984082444936,Pasteur,Sukasari,tourism_shopping_place
GRANDE FACTORY OUTLET,JL. RAYA PAJAJARAN NO. 76,2021,-6.6088744055930615,106.81121596286545,Citarum,Bandung Wetan,tourism_shopping_place
LEVEL,JL. H. JUANDA NO. 138,2021,-6.888460102346018,107.61374930585654,Lebak Gede,Coblong,tourism_shopping_place
RENARITTI,JL. L. L. R. E. MARTADINATA NO. 26,2021,-6.90648632941917,107.61482717791988,Citarum,Bandung Wetan,tourism_shopping_place
FO WARUNG GAUL,JL. CIHAMPELAS NO. 151,2021,-6.894176718330846,107.60374123767446,Cipaganti,Coblong,tourism_shopping_place
SCH SULTAN AGUNG,JL. SULTAN AGUNG NO. 3,2021,-6.904378931282043,107.61130894064748,Citarum,Bandung Wetan,tourism_shopping_place
ADIDAS SURAPATI,JL. SURAPATI NO. 61,2021,-6.898692024208147,107.62106783840336,Sadang Serang,Coblong,tourism_shopping_place
VESSEL STORE,JL. TRUNOJOYO NO. 23,2021,-6.902742031894454,107.61336197792414,Citarum,Bandung Wetan,tourism_shopping_place
GUDANG GARMENT JL. JAKARTA,JL. JAKARTA NO.8,2021,-6.91438572944012,107.63520305005038,Kacapiring,Batununggal,tourism_shopping_place
GUDANG GARMENT,JL. A.H. NASUTION NO. 76,2021,-6.906605074726724,107.68472102006304,Sindangjaya,Mandalajati,tourism_shopping_place
TC7 STORE,JL. TAMAN CEMP. NO.7,2021,-6.9130207868256335,107.62744989306988,Merdeka,Sumur Bandung,tourism_shopping_place
HAPPY GO LUCKY,JL. CILIWUNG NO. 14,2021,-6.90567882375141,107.62593099015048,Cihapit,Bandung Wetan,tourism_shopping_place
GUDANG GARMENT TOHA,JL. MOH. TOHA NO. 106,2021,-6.971742343837079,107.61960208551908,Pasawahan,Bandung Wetan,tourism_shopping_place
KING KONG JEANS,JL. CIHAMPELAS NO. 166A,2021,-6.894632004165648,107.60412478177876,Cipaganti,Coblong,tourism_shopping_place
RABBANI,JL. DIPATIUKUR NO. 44,2021,-6.895818214015603,107.61694394065174,Lebak Gede,Coblong,tourism_shopping_place
ALISHA FANCY SHOP,JL. SALENDRO UTARA NO. 27,2021,-6.936511873128551,107.63428053515013,Turangga,Lengkong,tourism_shopping_place
CROCS,JL. L. LÂ  R. R. MARTADINATA NO. 32,2021,-6.903002687983072,107.61621794145404,Citarum,Bandung Wetan,tourism_shopping_place
NS FACTORY OUTLET,JL. DEWI SARTIKA NO. 65,2021,-6.924286488826419,107.60615434667044,Balonggede,Regol,tourism_shopping_place
STOP N SHOP FACTORY OUTLET,JL. INSINYUR H. JUANDA NO. 152,2021,-6.903005412818931,107.61029022630493,Tamansari,Bandung Wetan,tourism_shopping_place
SHAFIRA BUAH BATU,JL. BUAH BATU NO. 165 B,2021,-6.939793058374583,107.62586564773416,Turangga,Lengkong,tourism_shopping_place
MR BEAN FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 57,2021,-6.905261017213382,107.6158859264125,Citarum,Bandung Wetan,tourism_shopping_place
CISANGKUY FACTORY OUTLET,JL. CISANGKUY NO. 58,2021,-6.901020930119488,107.62185007160436,Cihaurgeulis,Cibeunying Kaler,tourism_shopping_place
JETSET FACTORY OUTLET,JL. IR. H. JUANDA NO. 116,2021,-6.890029154120969,107.61352418187494,Lebak Gede,Coblong,tourism_shopping_place
CALAMUS FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 81,2021,-6.904687710406517,107.62275614866572,Cihapit,Bandung Wetan,tourism_shopping_place
TOKO DAPUR BUNDA - FACTORY OUTLET,JL. LODAYA NO. 55,2021,-6.928306331488237,107.6211102060817,Malabar,Lengkong,tourism_shopping_place
SPORT STATION TRUNOJOYO,JL. TRUNOJOYO NO.7,2021,-6.905101379773093,107.61331287974104,Citarum,Bandung Wetan,tourism_shopping_place
JOKOWOW FACTORY OUTLET,JL. CIHAMPELAS NO. 174,2021,-6.8778825618941815,107.59653232116888,Gegerkalong,Sukajadi,tourism_shopping_place
GRANDE FASHION & GALLERY,JL. CIHAMPELAS NO.186,2021,-6.892269287722978,107.60405740746457,Cipaganti,Coblong,tourism_shopping_place
CHERRY FACTORY OUTLET,JL. GEGERKALOOHILIR NO. 18,2021,-6.869472895818815,107.59261891349128,Gegerkalong,Sukajadi,tourism_shopping_place
MIKHAYLA KIDS FACTORY OUTLET BATUSANGKAR,JL. SOEKARNO HATTA NO. 2,2021,-6.934082496732506,107.71877241786451,Pasirbiru,Cibiru,tourism_shopping_place
BARUNI BATIK GALLERY,JL. BUAH BATU NO.87,2021,-6.933772489803377,107.6206051128925,Malabar,Lengkong,tourism_shopping_place
CUCI GUDANG BARANG BRANDED,JL. TAMAN KOPO INDAH I,2021,-6.966701958020234,107.57331939325356,Sayati,Bandung Wetan,tourism_shopping_place
FOJBA FACTOR OUTLET,JL. TERUSAN KOPO,2021,-7.007884620293743,107.55094654543056,Citarum,Bandung Wetan,tourism_shopping_place
JULIEN BIG SIZE,JL. VETERAN NO. 17-B,2021,-6.917855446526907,107.61489750674072,Kebon Pisang,Sumur Bandung,tourism_shopping_place
THE SPORTS WAREHOUSE,JL. BRAGA NO. 91,2021,-6.916662612507113,107.6091038656638,Braga,Sumur Bandung,tourism_shopping_place
BRAND REVOLUTION,JL. IR. H. JUANDA,2021,-6.891286723690143,107.61358912879248,Lebak Gede,Coblong,tourism_shopping_place
BOOM STOCK,JL. CIHAMPELAS NO. 144,2021,-6.894536944826362,107.60403503222562,Cipaganti,Coblong,tourism_shopping_place
BANDUNG ORIGINAL MERCHANDISE,JL. CIHAMPLES NO. 210,2021,-6.889212373123292,107.604394396583,Cipaganti,Coblong,tourism_shopping_place
PERSIB MERCHANDISE STORE,JL. SULANJANA NO. 17,2021,-6.8981591543338645,107.61005918538048,Lebak Siliwangi,Coblong,tourism_shopping_place
ELMEIRA HIJAB,JL. PROGO NO. 3,2021,-6.90249620083983,107.61705736316036,Citarum,Bandung Wetan,tourism_shopping_place
TOKO TIGA,JL. JEND. AHMAD YANI,2021,-6.91954844923399,107.62110800602044,Kebon Pisang,Sumur Bandung,tourism_shopping_place
TWIG HOUSE,JL. SUKAJADI NO. 127,2021,-6.889809921568851,107.59668819521804,Pasteur,Sukasari,tourism_shopping_place
OUTLET@251 - S.OLIVER,JL. RAYA PAJAJARAN NO. 27,2021,-6.570326471881416,106.80866969848154,Citarum,Bandung Wetan,tourism_shopping_place
TOKO SEPATU BATA,JL. RAYA BOJONGSOANG NO. 67,2021,-6.980270511895414,107.63344458073256,Lengkong,Bandung Wetan,tourism_shopping_place
TOKO TAS ELIZABETH OTISTA,JL. OTTO ISKANDAR DINATA NO. 520,2021,-6.930504903131708,107.60327406536368,Nyengseret,Astanaanyar,tourism_shopping_place
UNIVERSAL FOOTWEAR,JL. CIKONENG NO. 46,2021,-6.983099913512733,107.64128579399384,Lengkong,Bandung Wetan,tourism_shopping_place
SILIWANGI,JL. JEND. AHMAD YANI 203,2021,-6.918466165064204,107.624137627217,Kebon Pisang,Sumur Bandung,tourism_shopping_place
NIRWANA FABRIC OUTLET,JL. HASANUDIN NO. 9,2021,-6.890690522974218,107.61630191739344,Lebak Gede,Coblong,tourism_shopping_place
C59,JL. MERAK NO.2,2021,-6.897264699602768,107.62038944317688,Sadang Serang,Coblong,tourism_shopping_place
THIRD DAY CO,JL. CIHAMPELAS NO. 140,2021,-6.894473926345713,107.60398860542506,Cipaganti,Coblong,tourism_shopping_place
K2 BUSANA,JL. DEWI SARTIKA NO. 69,2021,-6.923048631574014,107.6055812320262,Balonggede,Regol,tourism_shopping_place
WIDELY PROJECT,JL. L. L. R. E. MARTADINATA NO. 107,2021,-6.904229021401132,107.62179519715473,Citarum,Bandung Wetan,tourism_shopping_place
RUMAH BAJU FASHION OUTLET,JL. PURWAKARTA NO. 146,2021,-6.914314342256234,107.65666443816652,Antapani Tengah,Antapani,tourism_shopping_place
KENARI FABRIC OUTLET,JL. KENARI NO. 14,2021,-6.909063594617352,107.6114076057886,Citarum,Bandung Wetan,tourism_shopping_place
FACTORY OUTLET HILTON,JL. TERUSAN KOPO KM. 11 NO. 76,2021,-6.979701495649215,107.56012411140924,Mekar Rahayu,Bandung Wetan,tourism_shopping_place
BARCELONA SPORT,JL. JEND AHMAD YANI NO. 69,2021,-6.920599434461862,107.6200880547004,Kebon Pisang,Sumur Bandung,tourism_shopping_place
GRUTTY SEPATU,JL. CIBADUYUT RAYA NO. 66,2021,-6.95074969533578,107.59352499888868,Cibaduyut,Bojongloa Kidul,tourism_shopping_place
TOKO DIANA,JL. CIBADUYUT RAYA NO. 134,2021,-6.955282248460807,107.59300588875082,Cibaduyut,Bojongloa Kidul,tourism_shopping_place
BATIK UNGGUL JAYA,JL. VETERAN NO. 42,2021,-6.918646982122094,107.615397375414,Kebon Pisang,Sumur Bandung,tourism_shopping_place
TOKO SEIRA,JL. BARANANG SIANG NO. 75,2021,-6.917837496520026,107.61865891144464,Kebon Pisang,Sumur Bandung,tourism_shopping_place
SYMPHONIC/CRUNC/UNFOLDS/STORE,JL. DEWI SARTIKA NO.7A,2021,-6.922618112056233,107.60628267718364,Balonggede,Regol,tourism_shopping_place
PLANET FASHION,JL. DEWI SARTIKA NO. 15,2021,-6.923470159127791,107.6064221515738,Balonggede,Regol,tourism_shopping_place
MYV FASHION,JL. KOSAR NO. KAV 9,2021,-6.901139390689338,107.6913987803822,Pasirendah,Ujungberung,tourism_shopping_place
MARYJANE STORE,JL. SULTAN TIRTAYASA NO.15,2021,-6.901828702482074,107.6140612049914,Citarum,Bandung Wetan,tourism_shopping_place
DAUKY FASHION HIJAB PASTEUR,JL. SUKARAJA ISTANA PASTTEUR REGENCY CRA49,2021,-6.890443329897997,107.57501695629664,Sukawarna,Bandung Wetan,tourism_shopping_place
TRIVIUM CLOTH,JL. LENGKONG BESAR NO. 81B,2021,-6.924931041717792,107.61253150162418,Paledang,Lengkong,tourism_shopping_place
OUVAL RESEARCH BUAH BATU,JL. BUAH BATU NO. 64,2021,-6.932529481273305,107.6188677939952,Malabar,Lengkong,tourism_shopping_place
TOKO ISNA FAJAR,JL. OTTO ISKANDAR DINATA NO. 177,2021,-6.919815344306286,107.6042845743056,Braga,Sumur Bandung,tourism_shopping_place
BAJUKU BANDUNG,JL. CIPAMUKOLAN NO. 58,2021,-6.941638480489701,107.67690030227584,Cipamokolan,Rancasari,tourism_shopping_place
TOKO PRABU,JL. JENDERAL AHMAD YANINO. 124,2021,-6.91983621620014,107.62114001206452,Kebon Pisang,Sumur Bandung,tourism_shopping_place
KAOS POLOS BANDUNG / CEMARA CLOTHING,JL. CEMARA NO. 63,2021,-6.8834396127792585,107.5984435950466,Pasteur,Sukasari,tourism_shopping_place
GILDAN BANDUNG,JL. TM. CIBEUNYIN SEL,2021,-6.907920493493678,107.6267507288954,Cihapit,Bandung Wetan,tourism_shopping_place
GUDANG JAM BANDUNG,JL. TERNATE NO. 29,2021,-6.907119693360329,107.61384598962664,Citarum,Bandung Wetan,tourism_shopping_place
HURTZINEMEDIA STORE,JL. GUDANG SELATAN NO. 22A,2021,-6.916684481646385,107.62079758537884,Merdeka,Sumur Bandung,tourism_shopping_place
POSHBRAIN STUDIO,JL. GUDANG SELATAN NO. 22,2021,-6.916895354640224,107.62093414218135,Merdeka,Sumur Bandung,tourism_shopping_place
PABRIK-JEANS.COM,JL. GUDANG UTARA NO. 4,2021,-6.915072796311031,107.619781000513,Merdeka,Sumur Bandung,tourism_shopping_place
ZOYA,JL. RUMAH SAKIT NO. 131,2021,-6.9276416083992665,107.69463707980417,Sukamulya,Cinambo,tourism_shopping_place
