kecamatan,Jumlah Negeri, Jumlah Swasta,Jumlah
,2021,2021,2021
Bandung Kulon,0,0,0
Babakan Ciparay,0,0,0
Bojongloa Kaler,0,0,0
Bojongloa Kidul,0,5,5
Astanaanyar,0,1,1
Regol,0,1,1
Lengkong,1,11,12
Bandung Kidul,0,5,5
Buahbatu,0,3,3
Rancasari,0,1,1
Gedebage,1,0,1
Cibiru,1,1,2
Panyileukan,1,3,4
ujung berung,0,1,1
Cinambo,0,0,0
Arcamanik,0,4,4
Antapani,0,0,0
Mandalajati,0,0,0
Kiaracondong,0,7,7
Batununggal,1,9,10
Sumur Bandung,0,6,6
Andir,0,3,3
Cicendo,2,8,10
Bandung Wetan,2,6,8
Cibeunying Kidul,0,6,6
Cibeunying Kaler,0,8,8
Coblong,6,10,16
Sukajadi,3,3,6
Sukasari,1,5,6
Cidadap,1,2,3
Kota Bandung,10,109,129